Sr.No.,Description of Machine,Unit,Cap.,Rate
1, Dozer D-8 H Heavy, Hour, 270 HP, 4190
2, Dozer D 80 A 12 Medium, Hour, 180 HP, 3892
3, Shantui Dozer SD13, Hour, 130 HP, 2353
4, Shantui Dozer SD16, Hour, 160 HP, 2808
5, BEML BD 80, Hour, 180 HP, 2661
6, Hydraulic Excavator BEML BE 200, Tata Hitachi EX200 or equivalent, Hour, 0.9 Cum, 2180
7, Hydraulic Excavator BEML BE 200, Tata Hitachi EX200 or equivalent, Day, 0.9 Cum, 17440
8, Excavator JCB JS 80, Hour, 0.9 Cum, 1303
9, Excavator JCB JS 80, Day, 0.9 Cum, 10424
10, Excavator Tata Hitachi EX100, Hour, 0.6 Cum, 1642
11, Excavator Tata Hitachi EX100, Day, 0.6 Cum, 13136
12, Excavator JCB JS140 / Tata Hitachi EX120 for scrapping, Hour, 0.6 Cum, 1692
13, Excavator JCB JS140 / Tata Hitachi EX120, Day, 0.6 Cum, 13536
14, Hydraulic Excavator Tata Hitachi EX 350, Hour, 1.7 Cum, 3342
15, Hydraulic Excavator Tata Hitachi EX 350, Day, 1.7 Cum, 26736
16, Hydraulic Excavator wheeled, Hour, 0.3 Cum, 1159
17, Hydraulic Excavator wheeled, Day, 0.3 Cum, 9273
18, Loader Bucket capacity, Hour, 1.00 Cum, 1072
19, Loader Bucket capacity, Day, 1.00 Cum, 8576
20, Loader bucket capacity, Hour, 2.0 Cum, 2095
21, Loader bucket capacity, Day, 2.0 Cum, 16760
22, Motor grader 3.35 mtr Blade, Hour, 145 HP, 2132
23, Komatsu GD 605 A3 / BEML GD 605 R-2 Grader, Hour, , 2071
24, Tandem Vibratory Road Roller 8 MTe, Hour, 8 MT, 2155
25, ACE Soil Compactor 10 T / Avelling Barford vib. Comp., Hour, 10 MT, 1219
26, DRR 8 / 10 MT, Hour, 8 MT, 709
27, Static Road Roller 8 MT, Hour, 8 MT, 828
28, Pneumatic Road Roller, Hour, 8 MT, 1318
29, Manual roller 0.5 MT to 1 MT, Hour, 0.5 to 1 MT, 223
30, Manual roller 0.5 MT to 1 MT, Day, 0.5 to 1 MT, 1779
31, Tipper 10 cum, Km, 10 Cum, 54
32, Tipper 10 cum 20 Km/Hr, Hour, 10 Cum, 1082
33, Tipper 10 MT, Km, 10 MT, 54
34, Tipper 10 MT, Hour, 10 MT, 1082
35, Eicher Tipper 8.5 Cum, Km, 8.5 Cum, 76
36, Eicher Tipper 8.5 Cum, Hour, 8.5 Cum, 1528
37, Tipper 7.5 MT, Km, 7.5 MT, 49
38, Tipper 7.5 MT, Hour, 7.5 MT, 982
39, Tipper TATA LPK 2518 BS III, Km, 25 MT, 77
40, Tipper TATA LPK 2518 BS III, Hr, 25 MT, 1542
41, Mahindra Blazo X 25 25 MT, Km, 25 MT, 106
42, Mahindra Blazo X 25 25 MT, Hr, 25 MT, 2126
43, Mahindra Blazo 28 MT 2022 New Machine, Km, 28 MT, 110
44, Mahindra Blazo 28 MT 2022 New Machine, Hr, 28 MT, 2206
45, Tractor, Hour, 35 HP, 420
46, Tractor with rotevator, Hour, 35 HP, 443
47, Tractor with Ripper, Hour, 35 HP, 779
48, Water Tanker 9000 litr., Hour, 9000 Litr., 960
49, Water Tanker 15 km per Hour, Km, 9000 Litr., 64
50, Truck 7.5 MT, Km, 7.5 MT, 53
51, Tata 407, Km, 85 HP, 32
52, Air Compressor 175 cfm, Hour, 175 cfm, 815
53, Air Compressor 260/250 cfm, Hour, 250 cfm, 869
